Timestamp,Net_Irrigation_Requirement_mm,Gross_Irrigation_Requirement_mm,Cumulative_Irrigation_mm,Irrigation_Cost_$
2024-06-04,0.09373000000000001,0.1171625,0.1171625,0.011716250000000001
2024-06-05,0.20720000000000002,0.259,0.3761625,0.025900000000000003
2024-06-06,0.21308000000000005,0.26635000000000003,0.6425125,0.026635000000000006
2024-06-07,0.20384000000000002,0.2548,0.8973125000000001,0.025480000000000003
2024-06-08,0.0,0.0,0.8973125000000001,0.0
2024-06-09,0.173635,0.21704375,1.1143562500000002,0.021704375
2024-06-10,0.22013333333333335,0.27516666666666667,1.389522916666667,0.02751666666666667
2024-06-11,0.24425333333333338,0.3053166666666667,1.6948395833333336,0.03053166666666667
2024-06-12,0.28848,0.3606,2.0554395833333334,0.03606
2024-06-13,0.269555,0.33694375,2.3923833333333335,0.033694375
2024-06-14,0.0,0.0,2.3923833333333335,0.0
2024-06-15,0.2762666666666667,0.3453333333333334,2.737716666666667,0.03453333333333334
2024-06-16,0.32506666666666667,0.4063333333333333,3.1440500000000005,0.040633333333333334
2024-06-17,0.28309500000000004,0.35386875,3.4979187500000006,0.035386875000000005
2024-06-18,0.23683,0.2960375,3.793956250000001,0.02960375
2024-06-19,0.0,0.0,3.793956250000001,0.0
2024-06-20,0.0,0.0,3.793956250000001,0.0
2024-06-21,0.0,0.0,3.793956250000001,0.0
2024-06-22,0.30419999999999997,0.3802499999999999,4.174206250000001,0.038024999999999996
2024-06-23,0.35386666666666666,0.4423333333333333,4.616539583333334,0.04423333333333333
2024-06-24,0.3466666666666666,0.43333333333333324,5.049872916666668,0.04333333333333333
2024-06-25,0.371,0.46375,5.513622916666668,0.046375
2024-06-26,0.342375,0.42796874999999995,5.9415916666666675,0.042796875
2024-06-27,0.18269999999999997,0.22837499999999997,6.169966666666667,0.022837499999999997
2024-06-28,0.0,0.0,6.169966666666667,0.0
2024-06-29,0.0,0.0,6.169966666666667,0.0
2024-06-30,0.0,0.0,6.169966666666667,0.0
2024-07-01,0.0,0.0,6.169966666666667,0.0
2024-07-02,0.22895833333333335,0.28619791666666666,6.456164583333334,0.02861979166666667
2024-07-03,0.0,0.0,6.456164583333334,0.0
2024-07-04,0.2376,0.297,6.753164583333334,0.0297
2024-07-05,0.0,0.0,6.753164583333334,0.0
2024-07-06,0.0,0.0,6.753164583333334,0.0
2024-07-07,0.0,0.0,6.753164583333334,0.0
2024-07-08,0.22652,0.28314999999999996,7.036314583333334,0.028314999999999996
2024-07-09,0.2449,0.306125,7.342439583333333,0.0306125
2024-07-10,0.24544000000000002,0.3068,7.649239583333333,0.030680000000000002
2024-07-11,0.23126,0.28907499999999997,7.938314583333334,0.0289075
2024-07-12,0.23136,0.2892,8.227514583333333,0.02892
